names,genre,date_x,score
The Battle at Lake Changjin: Water Gate Bridge,War| History| Action| Drama,2022,"6,9"
Spider-Man: Into the Spider-Verse,Action| Adventure| Animation| Science Fiction,2018,"8,4"
Harry Potter and the Deathly Hallows: Part 1,Adventure| Fantasy,2010,"7,8"
Emily the Criminal,Crime| Drama| Thriller,2022,"6,8"
Emergency Declaration,Action| Drama| Mystery| Thriller,2022,"7,7"
Blood,Thriller| Horror,2023,"5,8"
Memory,Action| Thriller| Crime,2022,7
Orgasm Lecture 2,Drama,2020,10
Whisper,Horror| Thriller,2022,"6,4"
The Shack,Drama| Fantasy,2017,"7,5"
Eternals,Science Fiction| Action| Adventure,2021,7
Doraemon: Nobita's Little Star Wars 2021,Animation| Science Fiction| Adventure,2022,"5,7"
Dog,Drama| Comedy,2022,"7,4"
The Invitation,Horror| Thriller,2022,"6,4"
The Conjuring: The Devil Made Me Do It,Horror| Mystery| Thriller,2021,"7,5"
3-D Sex and Zen: Extreme Ecstasy,Drama| Adventure| Romance| Action| History,2011,"4,8"
Control,Science Fiction| Thriller| Mystery,2022,"5,4"
Mortal Kombat,Action| Fantasy| Adventure,2021,"7,1"
Mortal Kombat,Action| Fantasy| Adventure,2021,"7,1"
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure| Fantasy| Action,2003,"7,8"
Clifford the Big Red Dog,Family| Adventure| Comedy| Fantasy,2021,"7,2"
Dragon Knight,Fantasy| Adventure| Action,2022,"6,9"
Cruella,Comedy| Crime,2021,"8,1"
The Suicide Squad,Action| Comedy| Adventure,2021,"7,6"
Drifting Home,Animation| Drama| Fantasy| Adventure,2022,"7,6"
The Bad Guys,Animation| Action| Adventure| Crime| Comedy| Family,2022,"7,7"
The Remaining,Thriller| Horror,2014,"5,9"
The Last: Naruto the Movie,Action| Romance| Animation,2014,"7,8"
Pirates of the Caribbean: On Stranger Tides,Adventure| Action| Fantasy,2011,"6,5"
There's Something Wrong with the Children,Horror| Mystery| Thriller,2023,"6,1"
Prom Pact,Romance| Comedy,2023,"7,5"
Coco,Family| Animation| Fantasy| Music| Comedy| Adventure,2017,"8,2"
The Sea Beast,Animation| Adventure| Family| Fantasy,2022,"7,5"
Toy Story,Animation| Adventure| Family| Comedy,1995,8
The Boss Baby: Family Business,Animation| Comedy| Adventure| Family,2021,"7,5"
Housewife Sex Slaves: Hatano Yui,,2015,0
The Independent,Thriller| Drama,2022,"7,3"
Joseph,Drama| History,1995,"8,2"
Fullmetal Alchemist: The Revenge of Scar,Fantasy| Action| Adventure,2022,"6,8"
Titanic,Drama| Romance,1997,"7,9"
The Hunger Games: Mockingjay - Part 1,Science Fiction| Adventure| Thriller,2014,"6,8"
The Autopsy of Jane Doe,Horror| Mystery,2016,"6,7"
Corrective Measures,Action| Science Fiction| Thriller,2022,"5,2"
The Jack in the Box: Awakening,Horror,2022,"6,4"
Choose or Die,Horror| Thriller| Science Fiction,2022,"5,4"
Project Wolf Hunting,Action| Thriller| Horror,2022,"6,5"
Lost Bullet 2,Action| Crime| Thriller,2022,"6,5"
Crawlspace,Thriller,2022,"6,6"
The Good Neighbor,Thriller,2022,"7,1"
The Trapped 13: How We Survived The Thai Cave,Documentary,2022,"6,9"
Groot's First Steps,Animation| Family| Comedy| Science Fiction,2022,"7,1"
Son of God,Drama,2014,"6,9"
Sword Art Online the Movie -Progressive- Aria of a Starless Night,Animation| Action| Fantasy| Science Fiction,2021,8
Summer Ghost,Animation| Drama| Mystery| Fantasy,2021,"7,2"
Resident Evil: Welcome to Raccoon City,Horror| Science Fiction| Action,2021,"6,1"
Laid-Back Camp The Movie,Animation| Comedy,2022,"7,6"
The Pale Blue Eye,Mystery| Thriller,2022,7
The Lion King,Family| Animation| Drama,1994,"8,3"
The Lion King,Family| Animation| Drama,1994,"8,3"
Avengers: Age of Ultron,Action| Adventure| Science Fiction,2015,"7,3"
Me Before You,Drama| Romance,2016,"7,9"
Luca,Animation| Comedy| Fantasy| Adventure,2021,"7,9"
Pirates of the Caribbean: Dead Man's Chest,Adventure| Fantasy| Action,2006,"7,3"
The Menu,Horror| Thriller| Comedy,2022,"7,2"
Ice Age,Animation| Comedy| Family| Adventure,2002,"7,3"
Eureka: Eureka Seven Hi-Evolution,Animation| Drama| Adventure| Science Fiction,2021,"6,1"
The Little Mermaid,Animation| Family| Fantasy,1990,"7,3"
Shrek Forever After,Comedy| Adventure| Fantasy| Animation| Family,2010,"6,3"
Ghostbusters: Afterlife,Fantasy| Comedy| Adventure,2022,"7,5"
Sonic the Hedgehog,Action| Science Fiction| Comedy| Family,2020,"7,4"
Teasing Master Takagi-san: The Movie,Animation| Comedy| Romance,2022,"8,6"
Dragon Ball Z: Resurrection 'F',Action| Animation| Science Fiction,2015,"6,8"
The Guardians of the Galaxy Holiday Special,Comedy| Science Fiction| Adventure,2022,"7,3"
Secret Headquarters,Action| Adventure| Comedy| Science Fiction| Family,2022,"6,8"
The Princess and the Frog,Romance| Family| Animation,2010,"7,2"
365 Days: This Day,Romance| Drama,2022,"5,9"
Faraway,Romance| Comedy,2023,"6,8"
Hellhole,Horror,2022,6
To Kill the Beast,Mystery| Fantasy| Thriller,2022,6
Zootopia,Animation| Adventure| Family| Comedy,2016,"7,7"
The Book of Daniel,Fantasy| Drama,2013,"7,3"
Lesson Plan,Action| Crime,2022,"6,3"
Free Guy,Comedy| Adventure| Science Fiction,2021,"7,6"
Malvada,Comedy| Fantasy| Romance,2022,"7,4"
Diary of a Wimpy Kid: Rodrick Rules,Animation| Comedy| Family,2022,"7,1"
Iron Man 2,Adventure| Action| Science Fiction,2010,"6,8"
The Conjuring,Horror| Thriller,2013,"7,5"
Fast & Furious Presents: Hobbs & Shaw,Action| Adventure| Comedy,2019,"6,9"
The Library Boys,Comedy,2022,"4,3"
The Maze Runner,Action| Mystery| Science Fiction| Thriller,2014,"7,2"
Blueback,Drama| Adventure| Family,2023,"6,2"
The King's Man,Action| Adventure| Thriller| War| Mystery,2022,"6,8"
The Hobbit: The Battle of the Five Armies,Action| Adventure| Fantasy,2014,"7,3"
Miraculous World: New York; United HeroeZ,Animation| TV Movie| Fantasy| Action,2020,"8,2"
Mary Magdalene,Drama| History,2018,"6,3"
The Pilgrim's Progress,Animation| Adventure,2019,"7,8"
Red Notice,Action| Comedy| Crime| Thriller,2021,"6,8"
Solo Somos Carne,Horror,2022,"6,3"
Groot Takes a Bath,Animation| Family| Comedy| Science Fiction,2022,"7,1"
X,Horror| Mystery| Thriller,2022,"6,8"
The Croods: A New Age,Animation| Family| Adventure| Fantasy| Comedy,2021,"7,5"
Boruto: Naruto the Movie,Animation| Action| Comedy,2015,"7,6"
Thor: Ragnarok,Action| Adventure| Fantasy| Science Fiction| Comedy,2017,"7,6"
Barbie,Comedy,2023,0
Noah,Drama| Adventure,2014,"5,6"
The Seven Deadly Sins: Cursed by Light,Animation| Fantasy,2021,"7,8"
